UniProtID,function,process,component
P02545,GO:0005198///GO:0005515,GO:0006997///GO:0006998///GO:0007077///GO:0007084///GO:0007517///GO:0010628///GO:0030334///GO:0030951///GO:0034504///GO:0035105///GO:0036498///GO:0055015///GO:0071456///GO:0072201///GO:0090201///GO:0090343///GO:1900180///GO:2001237,GO:0005634///GO:0005635///GO:0005638///GO:0005652///GO:0005654///GO:0005829///GO:0005882///GO:0016607///GO:0031012///GO:0031965///GO:0048471
P21980,GO:0003810///GO:0005515///GO:0005525///GO:0016740///GO:0016746///GO:0019904///GO:0046872,GO:0001974///GO:0007200///GO:0018149///GO:0018153///GO:0032471///GO:0043065///GO:0043123///GO:0043277///GO:0045785///GO:0048661///GO:0050729///GO:0051260///GO:0051482///GO:0051561///GO:0060445///GO:0060662,GO:0005737///GO:0005739///GO:0005783///GO:0005829///GO:0005886///GO:0005925///GO:0031012///GO:0031226///GO:0070062
P49023,GO:0005178///GO:0005515///GO:0008013///GO:0008270///GO:0017166///GO:0019901///GO:0031625///GO:0032403///GO:0046872,GO:0006936///GO:0007155///GO:0007160///GO:0007165///GO:0007172///GO:0007173///GO:0007179///GO:0034614///GO:0048010///GO:0060396///GO:1901652,GO:0001725///GO:0005737///GO:0005829///GO:0005856///GO:0005875///GO:0005886///GO:0005925///GO:0005938///GO:0030027///GO:0030054
Q16665,GO:0000981///GO:0000989///GO:0001076///GO:0001077///GO:0001228///GO:0003677///GO:0003700///GO:0003705///GO:0005515///GO:0008134///GO:0019899///GO:0019901///GO:0031625///GO:0035035///GO:0035257///GO:0042826///GO:0043565///GO:0046982///GO:0046983///GO:0051879///GO:0070888,GO:0001525///GO:0001568///GO:0001666///GO:0001755///GO:0001837///GO:0001892///GO:0001922///GO:0001938///GO:0001944///GO:0001947///GO:0002052///GO:0002248///GO:0003151///GO:0003208///GO:0006089///GO:0006110///GO:0006351///GO:0006355///GO:0006366///GO:0006879///GO:0007165///GO:0007595///GO:0008542///GO:0010468///GO:0010508///GO:0010573///GO:0010575///GO:0010628///GO:0010634///GO:0010870///GO:0014850///GO:0016239///GO:0016579///GO:0019896///GO:0021502///GO:0021987///GO:0030154///GO:0030279///GO:0030502///GO:0030949///GO:0032007///GO:0032364///GO:0032722///GO:0032909///GO:0032963///GO:0035162///GO:0035774///GO:0042127///GO:0042541///GO:0042593///GO:0042789///GO:0043066///GO:0043524///GO:0043619///GO:0045648///GO:0045766///GO:0045821///GO:0045893///GO:0045926///GO:0045944///GO:0046716///GO:0046886///GO:0048514///GO:0048546///GO:0048593///GO:0050790///GO:0051000///GO:0051216///GO:0051541///GO:0060574///GO:0061030///GO:0061072///GO:0061298///GO:0061418///GO:0061419///GO:0070101///GO:0070243///GO:0070244///GO:0071347///GO:0071456///GO:0071542///GO:0097411///GO:1902895///GO:1903377///GO:1903599///GO:1903715///GO:2000378///GO:2001054,GO:0005634///GO:0005654///GO:0005667///GO:0005737///GO:0005829///GO:0016604///GO:0016607///GO:0031514///GO:0090575///GO:1904115
P04899,GO:0000166///GO:0001664///GO:0003924///GO:0004871///GO:0005515///GO:0005525///GO:0019001///GO:0031683///GO:0046872,GO:0000186///GO:0001973///GO:0006457///GO:0007049///GO:0007165///GO:0007186///GO:0007188///GO:0007193///GO:0007194///GO:0007213///GO:0007214///GO:0007584///GO:0008283///GO:0008284///GO:0035556///GO:0050805///GO:0051301///GO:0051924,GO:0005634///GO:0005654///GO:0005737///GO:0005813///GO:0005815///GO:0005829///GO:0005834///GO:0005856///GO:0005886///GO:0016020///GO:0030425///GO:0030496///GO:0044297///GO:0045121///GO:0070062///GO:1903561
P04150,GO:0000978///GO:0001077///GO:0003677///GO:0003700///GO:0003707///GO:0003723///GO:0004883///GO:0005496///GO:0005515///GO:0008270///GO:0008289///GO:0038051///GO:0043565///GO:0046872///GO:1990239,GO:0006351///GO:0006355///GO:0006366///GO:0006367///GO:0006915///GO:0007049///GO:0007059///GO:0007067///GO:0007165///GO:0016569///GO:0042921///GO:0043401///GO:0043402///GO:0045944///GO:0051301///GO:0071383,GO:0005634///GO:0005654///GO:0005737///GO:0005739///GO:0005759///GO:0005815///GO:0005819///GO:0005829///GO:0005856///GO:0043234
Q00839,GO:0000166///GO:0001047///GO:0003677///GO:0003723///GO:0005515///GO:0005524///GO:0034046///GO:0035326///GO:0043021///GO:0070034,GO:0000398///GO:0001649///GO:0006396///GO:0006397///GO:0008380///GO:0010467///GO:0010628///GO:0032211///GO:0032922///GO:0048511///GO:0055013///GO:0070934///GO:0071549///GO:2000373,GO:0005634///GO:0005654///GO:0005681///GO:0005737///GO:0009986///GO:0016020///GO:0030529///GO:0031012///GO:0036464///GO:0070937///GO:0071013///GO:0005697
Q01105,GO:0003677///GO:0004864///GO:0005515///GO:0019888///GO:0042393,GO:0006260///GO:0006334///GO:0006337///GO:0006913///GO:0016032///GO:0035067///GO:0043086///GO:0043488///GO:0043524///GO:0045892///GO:0050790,GO:0005634///GO:0005654///GO:0005737///GO:0005783///GO:0005811///GO:0005829///GO:0043234///GO:0048471
Q13043,GO:0000166///GO:0000287///GO:0004672///GO:0004674///GO:0004702///GO:0005515///GO:0005524///GO:0008134///GO:0016301///GO:0016740///GO:0042802///GO:0042803///GO:0043539///GO:0046872///GO:0046983,GO:0000902///GO:0001569///GO:0001841///GO:0001934///GO:0003157///GO:0006468///GO:0006915///GO:0007165///GO:0007417///GO:0008285///GO:0016310///GO:0018105///GO:0023014///GO:0030216///GO:0032092///GO:0033138///GO:0035329///GO:0035556///GO:0043065///GO:0045600///GO:0046621///GO:0046777///GO:0050821///GO:0060215///GO:0060706///GO:0060800///GO:0071902///GO:0090090///GO:0097284///GO:1902043,GO:0005634///GO:0005654///GO:0005737///GO:0005829///GO:0016604///GO:0043234
P60709,GO:0000166///GO:0005200///GO:0005515///GO:0005524///GO:0019894///GO:0030957///GO:0042802///GO:0050998///GO:0098973///GO:0000978///GO:0000980///GO:0031492,GO:0001895///GO:0006928///GO:0016579///GO:0021762///GO:0034329///GO:0038096///GO:0043044///GO:0045815///GO:0048010///GO:0048013///GO:0061024///GO:0070527///GO:0098974,GO:0000790///GO:0005615///GO:0005654///GO:0005737///GO:0005829///GO:0005856///GO:0005886///GO:0005925///GO:0016020///GO:0030529///GO:0030863///GO:0035267///GO:0036464///GO:0043209///GO:0043234///GO:0070062///GO:0072562///GO:0097433
P99999,GO:0005515///GO:0009055///GO:0020037///GO:0045155///GO:0046872///GO:0004722,GO:0000302///GO:0006122///GO:0006123///GO:0006470///GO:0006915///GO:0007005///GO:0008635///GO:0045333///GO:0055114///GO:0097193,GO:0000159///GO:0005634///GO:0005739///GO:0005743///GO:0005758///GO:0005829///GO:0070469
Q07817,GO:0005515///GO:0019901///GO:0042802///GO:0046982///GO:0051434,GO:0000910///GO:0001541///GO:0001701///GO:0001836///GO:0006897///GO:0006915///GO:0007093///GO:0007281///GO:0007283///GO:0008283///GO:0008284///GO:0008584///GO:0008630///GO:0008637///GO:0009314///GO:0009566///GO:0009615///GO:0010507///GO:0019050///GO:0034097///GO:0040007///GO:0042981///GO:0043065///GO:0043066///GO:0043524///GO:0046898///GO:0046902///GO:0051402///GO:0051881///GO:0060154///GO:0070584///GO:0071230///GO:0071312///GO:0071480///GO:0071839///GO:0090005///GO:0090201///GO:0097192///GO:0097284///GO:1900118///GO:1902042///GO:1902230///GO:2000811///GO:2001240///GO:2001243///GO:2001244,GO:0005622///GO:0005634///GO:0005737///GO:0005739///GO:0005741///GO:0005743///GO:0005759///GO:0005783///GO:0005813///GO:0005815///GO:0005829///GO:0005856///GO:0016020///GO:0016021///GO:0030054///GO:0030672///GO:0031410///GO:0031965///GO:0031966///GO:0045202///GO:0097136
Q06609,GO:0000150///GO:0000166///GO:0000400///GO:0003677///GO:0003682///GO:0003690///GO:0003697///GO:0005515///GO:0005524///GO:0008022///GO:0008094///GO:0042802///GO:0043142///GO:0070182///GO:0004520,GO:0000722///GO:0000724///GO:0000730///GO:0000731///GO:0000732///GO:0001932///GO:0006259///GO:0006268///GO:0006281///GO:0006310///GO:0006312///GO:0006974///GO:0007126///GO:0007127///GO:0007131///GO:0009636///GO:0010165///GO:0010569///GO:0010833///GO:0014070///GO:0031297///GO:0032200///GO:0036297///GO:0042148///GO:0042493///GO:0051106///GO:0051260///GO:0070192///GO:0071312///GO:0071479///GO:0071480///GO:0072711///GO:0072719///GO:0072757///GO:1904631///GO:1990414///GO:1990426,GO:0000228///GO:0000784///GO:0000785///GO:0000790///GO:0000793///GO:0000794///GO:0000800///GO:0005634///GO:0005654///GO:0005730///GO:0005737///GO:0005739///GO:0005759///GO:0005815///GO:0005829///GO:0005856///GO:0016605///GO:0035861///GO:0048471
Q99828,GO:0005509///GO:0005515///GO:0008022///GO:0008427///GO:0017016///GO:0019901///GO:0030291///GO:0043495///GO:0044325///GO:0046872,GO:0001525///GO:0001933///GO:0001934///GO:0001954///GO:0002931///GO:0006302///GO:0006469///GO:0006915///GO:0006974///GO:0007026///GO:0007049///GO:0007113///GO:0007155///GO:0007283///GO:0007286///GO:0008284///GO:0008285///GO:0010977///GO:0030154///GO:0030220///GO:0030307///GO:0030335///GO:0031122///GO:0033630///GO:0038163///GO:0042127///GO:0043066///GO:0043085///GO:0045653///GO:0051092///GO:0051301///GO:0051302///GO:0051898///GO:0070374///GO:0070886///GO:0071356///GO:0071363///GO:0071901///GO:0071902///GO:0090004///GO:0090050///GO:0090314///GO:0097191///GO:1900026///GO:1990090///GO:2000256,GO:0005634///GO:0005654///GO:0005737///GO:0005783///GO:0005794///GO:0005813///GO:0005815///GO:0005856///GO:0005886///GO:0016020///GO:0016324///GO:0030027///GO:0030424///GO:0030425///GO:0030426///GO:0031982///GO:0032433///GO:0032587///GO:0042383///GO:0042995///GO:0043005///GO:0043025///GO:0048471///GO:0070062///GO:0071944
P04637,GO:0000977///GO:0000981///GO:0001046///GO:0001085///GO:0001228///GO:0002020///GO:0002039///GO:0003677///GO:0003682///GO:0003684///GO:0003700///GO:0005507///GO:0005515///GO:0005524///GO:0008134///GO:0008270///GO:0019899///GO:0019901///GO:0019903///GO:0030971///GO:0031625///GO:0035035///GO:0042802///GO:0043621///GO:0044212///GO:0046872///GO:0046982///GO:0047485///GO:0051087///GO:0051721,GO:0000122///GO:0000733///GO:0006284///GO:0006289///GO:0006351///GO:0006355///GO:0006366///GO:0006461///GO:0006915///GO:0006974///GO:0006977///GO:0006978///GO:0006983///GO:0007049///GO:0007050///GO:0007265///GO:0007275///GO:0007569///GO:0008104///GO:0008283///GO:0008285///GO:0008340///GO:0010165///GO:0010332///GO:0010628///GO:0012501///GO:0016032///GO:0016579///GO:0030154///GO:0030308///GO:0030330///GO:0031065///GO:0031497///GO:0031571///GO:0032461///GO:0034613///GO:0034644///GO:0035690///GO:0042149///GO:0042771///GO:0042981///GO:0043065///GO:0043066///GO:0043153///GO:0043161///GO:0043525///GO:0045892///GO:0045893///GO:0045944///GO:0046677///GO:0046827///GO:0046902///GO:0048015///GO:0048147///GO:0048511///GO:0048512///GO:0050731///GO:0051097///GO:0051262///GO:0051974///GO:0070245///GO:0071158///GO:0071456///GO:0071479///GO:0072332///GO:0090200///GO:0090399///GO:0090403///GO:0097193///GO:0097252///GO:1900119///GO:1900740///GO:1901796///GO:1902749///GO:1990440///GO:2000379///GO:2001244,GO:0000790///GO:0005634///GO:0005654///GO:0005657///GO:0005730///GO:0005737///GO:0005739///GO:0005759///GO:0005783///GO:0005829///GO:0016363///GO:0016605///GO:0043234///GO:0005669///GO:0016604
P63000,GO:0000166///GO:0003924///GO:0005515///GO:0005525///GO:0017137///GO:0019899///GO:0019901///GO:0030742///GO:0031996///GO:0042826///GO:0051022///GO:0051117,GO:0001934///GO:0002093///GO:0002551///GO:0003382///GO:0006897///GO:0006911///GO:0006928///GO:0006935///GO:0006954///GO:0006972///GO:0007010///GO:0007015///GO:0007155///GO:0007160///GO:0007186///GO:0007264///GO:0007411///GO:0007596///GO:0008283///GO:0008361///GO:0009611///GO:0009653///GO:0010310///GO:0010592///GO:0010762///GO:0010811///GO:0014041///GO:0016358///GO:0016477///GO:0016601///GO:0021799///GO:0021831///GO:0021894///GO:0022604///GO:0030032///GO:0030036///GO:0030041///GO:0030168///GO:0030334///GO:0030838///GO:0031295///GO:0031529///GO:0032707///GO:0034446///GO:0035025///GO:0035556///GO:0035567///GO:0038095///GO:0038096///GO:0043065///GO:0043312///GO:0043552///GO:0043652///GO:0045216///GO:0045453///GO:0045740///GO:0048010///GO:0048013///GO:0048168///GO:0048261///GO:0048532///GO:0048812///GO:0048813///GO:0048870///GO:0048873///GO:0050690///GO:0051056///GO:0051496///GO:0051668///GO:0051894///GO:0051932///GO:0060071///GO:0060263///GO:0060999///GO:0071260///GO:0071526///GO:0071542///GO:0072659///GO:0090023///GO:0090103///GO:0097178///GO:1900026///GO:1904948,GO:0000139///GO:0000242///GO:0001891///GO:0005634///GO:0005737///GO:0005789///GO:0005802///GO:0005829///GO:0005886///GO:0005925///GO:0016020///GO:0019897///GO:0030027///GO:0030667///GO:0031012///GO:0031410///GO:0031901///GO:0032587///GO:0036464///GO:0042470///GO:0042995///GO:0043197///GO:0060091///GO:0070062///GO:0101003///GO:0005884
Q04206,GO:0000977///GO:0000978///GO:0000980///GO:0000983///GO:0001046///GO:0001077///GO:0001078///GO:0001205///GO:0003677///GO:0003682///GO:0003700///GO:0003705///GO:0005515///GO:0008134///GO:0019899///GO:0019901///GO:0031490///GO:0031625///GO:0032403///GO:0033613///GO:0042301///GO:0042802///GO:0042803///GO:0042805///GO:0042826///GO:0043565///GO:0044212///GO:0046982///GO:0047485///GO:0051059///GO:0070491///GO:0071532,GO:0000122///GO:0001889///GO:0001942///GO:0002223///GO:0006117///GO:0006351///GO:0006355///GO:0006366///GO:0006952///GO:0006954///GO:0006968///GO:0007568///GO:0008284///GO:0009612///GO:0009617///GO:0009887///GO:0010033///GO:0010035///GO:0010224///GO:0014040///GO:0014070///GO:0016032///GO:0019221///GO:0031293///GO:0032332///GO:0032481///GO:0032495///GO:0032496///GO:0032570///GO:0032868///GO:0033590///GO:0034097///GO:0035729///GO:0035994///GO:0038095///GO:0042177///GO:0042493///GO:0042542///GO:0043066///GO:0043123///GO:0043200///GO:0043278///GO:0045084///GO:0045892///GO:0045893///GO:0045944///GO:0046627///GO:0050727///GO:0050852///GO:0051092///GO:0051591///GO:0051607///GO:0070301///GO:0070431///GO:0070555///GO:0071222///GO:0071316///GO:0071347///GO:0071354///GO:0071356///GO:0071375///GO:1901223///GO:1902895///GO:2000630///GO:2001237,GO:0000790///GO:0005634///GO:0005654///GO:0005667///GO:0005737///GO:0005829///GO:0033256///GO:0043234///GO:0071159
P00533,GO:0000166///GO:0001948///GO:0003682///GO:0003690///GO:0004672///GO:0004709///GO:0004713///GO:0004714///GO:0004716///GO:0004871///GO:0004888///GO:0005006///GO:0005088///GO:0005102///GO:0005178///GO:0005515///GO:0005516///GO:0005524///GO:0016301///GO:0016740///GO:0019899///GO:0019901///GO:0019903///GO:0031625///GO:0042802///GO:0045296///GO:0046934///GO:0046982///GO:0048408///GO:0051015///GO:0030235,GO:0000165///GO:0000186///GO:0000902///GO:0001503///GO:0001889///GO:0001892///GO:0001934///GO:0001942///GO:0006357///GO:0006412///GO:0006468///GO:0006950///GO:0006970///GO:0006979///GO:0007165///GO:0007166///GO:0007169///GO:0007173///GO:0007202///GO:0007275///GO:0007435///GO:0007494///GO:0007611///GO:0007623///GO:0008283///GO:0008284///GO:0008544///GO:0010960///GO:0014066///GO:0014070///GO:0016101///GO:0016310///GO:0016337///GO:0018108///GO:0021795///GO:0030307///GO:0030324///GO:0030335///GO:0031659///GO:0032355///GO:0032930///GO:0033590///GO:0033594///GO:0033993///GO:0035413///GO:0035556///GO:0035690///GO:0038083///GO:0038128///GO:0042059///GO:0042060///GO:0042127///GO:0042177///GO:0042327///GO:0042698///GO:0042743///GO:0043006///GO:0043066///GO:0043406///GO:0043547///GO:0043586///GO:0045429///GO:0045739///GO:0045740///GO:0045780///GO:0045907///GO:0045909///GO:0045930///GO:0045944///GO:0046777///GO:0046854///GO:0048015///GO:0048143///GO:0048146///GO:0048546///GO:0048661///GO:0048812///GO:0050679///GO:0050729///GO:0050730///GO:0050999///GO:0051205///GO:0051592///GO:0051897///GO:0051968///GO:0060571///GO:0061024///GO:0061029///GO:0070141///GO:0070374///GO:0071230///GO:0071260///GO:0071363///GO:0071364///GO:0071392///GO:0071549///GO:0097421///GO:1900020///GO:1901185///GO:1902722///GO:1903078///GO:1903800///GO:1905208///GO:2000145,GO:0000139///GO:0005576///GO:0005615///GO:0005622///GO:0005634///GO:0005737///GO:0005768///GO:0005783///GO:0005789///GO:0005794///GO:0005886///GO:0005925///GO:0009986///GO:0010008///GO:0016020///GO:0016021///GO:0016323///GO:0016324///GO:0030139///GO:0030665///GO:0031901///GO:0031965///GO:0043235///GO:0045121///GO:0045202///GO:0048471///GO:0070435///GO:0097489///GO:0030122
P36897,GO:0000166///GO:0004672///GO:0004674///GO:0004675///GO:0004702///GO:0005024///GO:0005025///GO:0005057///GO:0005102///GO:0005114///GO:0005515///GO:0005524///GO:0016301///GO:0016740///GO:0046332///GO:0046872///GO:0050431///GO:0070411///GO:0019838,GO:0000186///GO:0001501///GO:0001525///GO:0001701///GO:0001822///GO:0001824///GO:0001837///GO:0001937///GO:0001938///GO:0002088///GO:0003222///GO:0003223///GO:0006355///GO:0006468///GO:0006915///GO:0007050///GO:0007165///GO:0007178///GO:0007179///GO:0007507///GO:0008284///GO:0008354///GO:0008584///GO:0009791///GO:0009952///GO:0010468///GO:0010628///GO:0010717///GO:0010718///GO:0010862///GO:0016310///GO:0016579///GO:0018105///GO:0018107///GO:0023014///GO:0030154///GO:0030199///GO:0030307///GO:0030335///GO:0030512///GO:0031396///GO:0032331///GO:0032924///GO:0035556///GO:0040008///GO:0042060///GO:0042118///GO:0043062///GO:0043066///GO:0043393///GO:0043542///GO:0045893///GO:0048538///GO:0048663///GO:0048701///GO:0048705///GO:0048762///GO:0048844///GO:0048870///GO:0051272///GO:0051491///GO:0051496///GO:0051897///GO:0060017///GO:0060021///GO:0060037///GO:0060043///GO:0060317///GO:0060389///GO:0060391///GO:0060412///GO:0060978///GO:0060982///GO:0070723///GO:0071560///GO:1905007///GO:1905075///GO:1905223///GO:2001235///GO:2001237///GO:0003342,GO:0005622///GO:0005623///GO:0005768///GO:0005886///GO:0005923///GO:0009986///GO:0016020///GO:0016021///GO:0030054///GO:0043231///GO:0043235///GO:0045121///GO:0070022
Q16611,GO:0005515///GO:0031072///GO:0042802///GO:0042803///GO:0044325///GO:0046872///GO:0046982///GO:0051087///GO:0051400,GO:0001776///GO:0001782///GO:0001783///GO:0001836///GO:0001974///GO:0002262///GO:0002352///GO:0006915///GO:0006919///GO:0006987///GO:0007420///GO:0007568///GO:0008053///GO:0008283///GO:0008285///GO:0008630///GO:0008635///GO:0009620///GO:0010046///GO:0010225///GO:0010248///GO:0010332///GO:0010524///GO:0010629///GO:0014070///GO:0019835///GO:0031018///GO:0031100///GO:0032469///GO:0032471///GO:0033137///GO:0034644///GO:0035108///GO:0042493///GO:0042542///GO:0042981///GO:0043065///GO:0043496///GO:0043497///GO:0044346///GO:0045471///GO:0045862///GO:0046902///GO:0048597///GO:0048872///GO:0051726///GO:0051881///GO:0060068///GO:0070059///GO:0070242///GO:0071260///GO:0090200///GO:0097190///GO:0097192///GO:0097202///GO:1900103///GO:1901030///GO:1902262///GO:1903896,GO:0005622///GO:0005739///GO:0005741///GO:0005783///GO:0005829///GO:0016020///GO:0016021///GO:0031307///GO:0031966///GO:0046930
Q07812,GO:0005515///GO:0008289///GO:0015267///GO:0030544///GO:0042802///GO:0042803///GO:0046982///GO:0051087///GO:0051434,GO:0001541///GO:0001764///GO:0001776///GO:0001777///GO:0001782///GO:0001783///GO:0001822///GO:0001836///GO:0001844///GO:0001974///GO:0002262///GO:0002352///GO:0002358///GO:0002904///GO:0006687///GO:0006808///GO:0006915///GO:0006919///GO:0006974///GO:0006977///GO:0006987///GO:0007281///GO:0007283///GO:0007399///GO:0007548///GO:0008053///GO:0008283///GO:0008285///GO:0008584///GO:0008625///GO:0008630///GO:0008635///GO:0008637///GO:0009566///GO:0009611///GO:0009636///GO:0009651///GO:0009791///GO:0010212///GO:0010248///GO:0010332///GO:0010524///GO:0016032///GO:0021854///GO:0021987///GO:0032091///GO:0032461///GO:0032469///GO:0032471///GO:0032976///GO:0033137///GO:0033599///GO:0034644///GO:0035108///GO:0035234///GO:0042475///GO:0042981///GO:0043065///GO:0043281///GO:0043496///GO:0043497///GO:0043523///GO:0043524///GO:0043525///GO:0043653///GO:0045136///GO:0046666///GO:0048087///GO:0048147///GO:0048515///GO:0048597///GO:0048678///GO:0048872///GO:0048873///GO:0051259///GO:0051260///GO:0051281///GO:0051402///GO:0051726///GO:0051881///GO:0060011///GO:0060041///GO:0060058///GO:0060068///GO:0070059///GO:0070242///GO:0070584///GO:0071310///GO:0072332///GO:0090200///GO:0097190///GO:0097191///GO:0097192///GO:0097193///GO:0097296///GO:1900103///GO:1901030///GO:1902108///GO:1902110///GO:1902262///GO:1902263///GO:1902445///GO:1902512///GO:1903896///GO:1990117///GO:2001234///GO:2001241///GO:2001244,GO:0005622///GO:0005634///GO:0005635///GO:0005737///GO:0005739///GO:0005741///GO:0005757///GO:0005783///GO:0005789///GO:0005829///GO:0016020///GO:0016021///GO:0031966///GO:0046930///GO:0070062///GO:0097136///GO:0097144
